Category,Jin Sentence
Grammar Core (Sentence Structures & Tenses),俺昨儿个去集上卖菜哩。
Grammar Core (Sentence Structures & Tenses),他明年要考大学。
Grammar Core (Sentence Structures & Tenses),你现在在干啥咧？
Grammar Core (Sentence Structures & Tenses),咱们昨晚吃哩饺子忒好吃咧。
Grammar Core (Sentence Structures & Tenses),要是明天下雨，我就不出门咧。
Grammar Core (Sentence Structures & Tenses),那房子是他们盖哩。
Grammar Core (Sentence Structures & Tenses),我从小就爱听俺爷讲故事。
Grammar Core (Sentence Structures & Tenses),她没去成市场，车坏咧。
Grammar Core (Sentence Structures & Tenses),要不是你帮我，我可完咧。
Grammar Core (Sentence Structures & Tenses),这活儿干起来不容易。
Conversational Data (Real-Life Dialogues & Exchanges),—你吃饭咧冇？—刚吃完。
Conversational Data (Real-Life Dialogues & Exchanges),—天忒冷咧，穿厚点儿。
Conversational Data (Real-Life Dialogues & Exchanges),—今儿咱去你家玩好不？—成咧，来吧。
Conversational Data (Real-Life Dialogues & Exchanges),—你看见我手机冇？—在你褂子兜儿里。
Conversational Data (Real-Life Dialogues & Exchanges),—今儿集上人忒多咧。—可不咋地。
Conversational Data (Real-Life Dialogues & Exchanges),—咱今儿吃面还是吃饭？—吃面吧，省事儿。
Conversational Data (Real-Life Dialogues & Exchanges),—你这裤子哪儿买哩？—网儿上淘哩。
Conversational Data (Real-Life Dialogues & Exchanges),—你咋没上课咧？—感冒咧，在家歇哩。
Conversational Data (Real-Life Dialogues & Exchanges),—咱爷今儿下地哩冇？—早上就去了。
Conversational Data (Real-Life Dialogues & Exchanges),—中午你来我家吃吧。—好嘞。
Code-Switching & Multilingualism,俺妈讲得一口Jin，还会说点儿普通话。
Code-Switching & Multilingualism,我给你发个message，微信上等着。
Code-Switching & Multilingualism,咱们meeting定在下个礼拜五，行不？
Code-Switching & Multilingualism,那个菜market里忒新鲜咧。
Code-Switching & Multilingualism,他把那英文email翻给我听咧。
Code-Switching & Multilingualism,手机里有navigation，用这个找地方忒方便咧。
Code-Switching & Multilingualism,你这句话夹哩法语咧？
Code-Switching & Multilingualism,俺爸说，现在young人都爱用app点饭。
Code-Switching & Multilingualism,老师让咱们做个presentation。
Code-Switching & Multilingualism,上课别老刷TikTok咧。
"Formal & Professional Speech (Business, Legal, Medical, Technical)",本合同须经双方签字后生效。
"Formal & Professional Speech (Business, Legal, Medical, Technical)",此报告需提交至县教育局备案。
"Formal & Professional Speech (Business, Legal, Medical, Technical)",患者血压升高，需进一步检查。
"Formal & Professional Speech (Business, Legal, Medical, Technical)",咱单位今儿要开安全培训会议。
"Formal & Professional Speech (Business, Legal, Medical, Technical)",该项目已完成招投标程序。
"Formal & Professional Speech (Business, Legal, Medical, Technical)",所有员工必须遵守操作规范。
"Formal & Professional Speech (Business, Legal, Medical, Technical)",请按规定流程申请报销手续。
"Formal & Professional Speech (Business, Legal, Medical, Technical)",明日进行年度绩效考核。
"Formal & Professional Speech (Business, Legal, Medical, Technical)",律师已提交相关证明材料。
"Formal & Professional Speech (Business, Legal, Medical, Technical)",医生建议术后两周内避免剧烈运动。
"Idioms, Proverbs & Cultural Expressions",人往高处走，水往低处流。
"Idioms, Proverbs & Cultural Expressions",三天打鱼，两天晒网。
"Idioms, Proverbs & Cultural Expressions",吃得苦中苦，方为人上人。
"Idioms, Proverbs & Cultural Expressions",不听老人言，吃亏在眼前。
"Idioms, Proverbs & Cultural Expressions",急得像热锅上的蚂蚁。
"Idioms, Proverbs & Cultural Expressions",画蛇添足，徒劳无功。
"Idioms, Proverbs & Cultural Expressions",墙头草，风吹两边倒。
"Idioms, Proverbs & Cultural Expressions",心急吃不了热豆腐。
"Idioms, Proverbs & Cultural Expressions",狗咬吕洞宾，不识好人心。
"Idioms, Proverbs & Cultural Expressions",说曹操，曹操就到。
Question-Answer Pairs (FAQ & Contextual Understanding),—你老家是哪儿哩？—俺老家交城哩。
Question-Answer Pairs (FAQ & Contextual Understanding),—这鞋多少钱？—四十五一双。
Question-Answer Pairs (FAQ & Contextual Understanding),—集上几点开始热闹？—大概八点后。
Question-Answer Pairs (FAQ & Contextual Understanding),—这个怎么用？—你先按这儿，再点那儿。
Question-Answer Pairs (FAQ & Contextual Understanding),—你学Jin话学多久咧？—三年咧。
Question-Answer Pairs (FAQ & Contextual Understanding),—咱们今天干啥？—帮俺爸收苞谷。
Question-Answer Pairs (FAQ & Contextual Understanding),—这孩子多大咧？—刚上一年级。
Question-Answer Pairs (FAQ & Contextual Understanding),—你吃辣不？—中辣还成，忒辣不行。
Question-Answer Pairs (FAQ & Contextual Understanding),—今儿个啥日子？—腊月二十三，小年咧。
Question-Answer Pairs (FAQ & Contextual Understanding),—这活儿你一个人能干完？—使点劲儿也行。
Commands & Instructions (Imperative Sentences),把门关严实点儿。
Commands & Instructions (Imperative Sentences),快把这碗端过去。
Commands & Instructions (Imperative Sentences),别在屋里抽烟。
Commands & Instructions (Imperative Sentences),跟我来一趟办公室。
Commands & Instructions (Imperative Sentences),把电灯关咧。
Commands & Instructions (Imperative Sentences),今儿早点儿睡觉。
Commands & Instructions (Imperative Sentences),帮我把这袋米抬下楼。
Commands & Instructions (Imperative Sentences),别乱动那台机器。
Commands & Instructions (Imperative Sentences),请保持安静。
Commands & Instructions (Imperative Sentences),等会儿把这个送给你婶婶。
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",张三昨儿去吕梁开会咧。
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",阳泉市今年建咧好多新小区。
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",我在2023年春节回了老家。
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",山西大学招研究生咧。
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",交城县的新医院开业咧。
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",李老师是俺初中教数学哩。
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",今儿个五月初五，是端午节。
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",新华书店出咧新一批教科书。
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",俺爸去年八月退休咧。
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",平遥古城是有名哩旅游景点。
Sentiment Analysis Data (Emotion & Opinion-based Sentences),我忒高兴咧，考试过咧！
Sentiment Analysis Data (Emotion & Opinion-based Sentences),他这人忒抠，啥都舍不得买。
Sentiment Analysis Data (Emotion & Opinion-based Sentences),咱妈做哩饭忒香咧！
Sentiment Analysis Data (Emotion & Opinion-based Sentences),我真不想去上那个班会。
Sentiment Analysis Data (Emotion & Opinion-based Sentences),这电影太感人咧，俺都哭咧。
Sentiment Analysis Data (Emotion & Opinion-based Sentences),那服务态度忒差，我不乐意再去。
Sentiment Analysis Data (Emotion & Opinion-based Sentences),我今天心情不大好。
Sentiment Analysis Data (Emotion & Opinion-based Sentences),听到这消息我忒激动咧！
Sentiment Analysis Data (Emotion & Opinion-based Sentences),我觉得这件事不太靠谱。
Sentiment Analysis Data (Emotion & Opinion-based Sentences),他那话让我忒伤心咧。
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),你吃饭咧冇？
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),你吃过饭冇哩？
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),饭你吃咧冇？
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),饭吃咧不？
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),咱今儿吃哩饭你还记得不？
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),你中午吃哩是面还饭？
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),你是不是没吃饭咧？
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),饭点儿你干啥咧？
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),刚吃完饭，咂咂嘴忒香咧。
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),吃饭前你洗手咧冇？
